Traning started.....
Epoch[0] Finished[8.736%]Batch[65]acc_adversarial:0.5649938583374023
Epoch[0] Finished[8.870%]Batch[66]loss_adversarial:1.4580403566360474
Epoch[0] Finished[8.870%]Batch[66]iou_adversarial:0.17866825201607686
Epoch[0] Finished[8.870%]Batch[66]acc_adversarial:0.49956798553466797
Epoch[0] Finished[9.005%]Batch[67]loss_adversarial:1.0409480333328247
Epoch[0] Finished[9.005%]Batch[67]iou_adversarial:0.20215558481567553
Epoch[0] Finished[9.005%]Batch[67]acc_adversarial:0.5717201232910156
Epoch[0] Finished[9.139%]Batch[68]loss_adversarial:1.1721773147583008
Epoch[0] Finished[9.139%]Batch[68]iou_adversarial:0.20712557267904244
Epoch[0] Finished[9.139%]Batch[68]acc_adversarial:0.5828714370727539
Epoch[0] Finished[9.274%]Batch[69]loss_adversarial:1.2397003173828125
Epoch[0] Finished[9.274%]Batch[69]iou_adversarial:0.2011897718320201
Epoch[0] Finished[9.274%]Batch[69]acc_adversarial:0.4996452331542969
Epoch[0] Finished[9.408%]Batch[70]loss_adversarial:1.3302778005599976
Epoch[0] Finished[9.408%]Batch[70]iou_adversarial:0.19543871380453812
Epoch[0] Finished[9.408%]Batch[70]acc_adversarial:0.4822521209716797
Epoch[0] Finished[9.543%]Batch[71]loss_adversarial:1.7361036539077759
Epoch[0] Finished[9.543%]Batch[71]iou_adversarial:0.18308389789188315
Epoch[0] Finished[9.543%]Batch[71]acc_adversarial:0.4184436798095703
Epoch[0] Finished[9.677%]Batch[72]loss_adversarial:1.2300809621810913
Epoch[0] Finished[9.677%]Batch[72]iou_adversarial:0.21595677767597443
Epoch[0] Finished[9.677%]Batch[72]acc_adversarial:0.5057907104492188
Epoch[0] Finished[9.811%]Batch[73]loss_adversarial:1.07741117477417
Epoch[0] Finished[9.811%]Batch[73]iou_adversarial:0.17452938430768458
Epoch[0] Finished[9.811%]Batch[73]acc_adversarial:0.5814123153686523
Epoch[0] Finished[9.946%]Batch[74]loss_adversarial:1.3715388774871826
Epoch[0] Finished[9.946%]Batch[74]iou_adversarial:0.20638406422580147
